geom_type,lon,lat,@id,amenity,building,name,@geometry,height,addr:city,addr:street,alt_name,brand,brand:wikidata,website,addr:housenumber,addr:postcode,atm,branch,branch:type,brand:website,brand:wikipedia,contact:facebook,contact:instagram,contact:linkedin,contact:phone,contact:youtube,opening_hours,operator,operator:wikidata,operator:wikipedia,ref,short_name,source:contact,source:opening_hours,official_name,addr:country,addr:state,building:levels,barrier,landuse,phone,contact:website,int_name,drive_through,cash_in,cash_out,check_date,contact:email,contact:twitter,internet_access,language:en,language:es,language:fr,language:it,language:pt,source:operator,operator:alt_name,wheelchair,contact:fax,operator:old_name,operator:old_name:short,ref_name,name:en,description,source,survey:date,facility_manager,source:position,status,air_conditioning,currency:NGN,payment:cash,payment:debit_cards
Point,3.3671629,6.6396802,way/131672297,bank,yes,Diamond Bank,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5299411,6.4415561,way/304931125,bank,yes,First Bank of Nigeria,center,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4227306,6.4436235,way/363789616,bank,yes,Zenith Bank,center,12,Lagos,Awolowo Road,Zenith Bank Awolowo Road,Zenith Bank,Q5978240,https://www.zenithbank.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6727168,37.1025727,node/418723886,bank,,Caixa Geral de Depósitos,,,Lagos,Praça Gil Eannes,,Caixa Geral de Depósitos,Q1026044,https://www.cgd.pt/Corporativo/Rede-CGD/Pages/LAGOS.aspx,9,8600-668,yes,Lagos,retail,https://www.cgd.pt/,pt:Caixa Geral de Depósitos,caixageraldedepositos,caixageraldedepositos,https://www.linkedin.com/company/caixageraldedepositos/,+351 217 900 790,http://www.youtube.com/user/mediacgd,"Mo-Fr 08:30-15:00; Sa,Su,PH off",Caixa Geral de Depósitos,Q1026044,pt:Caixa Geral de Depósitos,1140,CGD,website,website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4313329,6.4542046,way/524285979,bank,yes,Ecobank,center,20,,,,Ecobank,Q930225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4276542,6.4329896,way/529219704,bank,yes,UBA,center,,,,,UBA,Q513457,,,,,,,,,,,,,,,,,,,,,,United Bank for Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4207784,6.4292447,way/529444311,bank,yes,UBA,center,,Lagos,Adeola Odeku Street,UBA Adeola Odeku,UBA,Q513457,https://www.ubagroup.com/nigeria/,,,,,,,en:United Bank for Africa,,,,,,,,,,,,,,United Bank for Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3121729,6.4661462,way/539335258,bank,yes,First Bank,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.431103,6.4534228,way/541770004,bank,yes,Zenith Bank,center,,,,,Zenith Bank,Q5978240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4196311,6.430256,way/542661157,bank,yes,Sterling Bank,center,,Lagos,Adeola Odeku Street,Sterling Bank Adeola Odeku,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
