geom_type,lon,lat,@id,alt_name,amenity,building,bus,check_date,internet_access,name,name:fr,opening_hours,operator,public_transport,wheelchair,@geometry,building:levels,description,wikidata,wikipedia,name:en,addr:city,addr:postcode,addr:street,bicycle,departures_board,foot,motor_vehicle,surface,bench,bin,fixme,highway,shelter,tactile_paving
Point,-8.676391,37.1072314,way/92924433,Terminal Rodoviário - EVA - Expressos,bus_station,yes,yes,2023-10-09,wlan,Terminal Rodoviário,Terminal Bus,"Mo-Fr 08:00-18:00; Sa-Su,PH 08:00-13:00,14:00-16:30",EVA transportes s.a.,station,limited,center,,,,,,,,,,,,,,,,,,,
Point,3.5019873,6.6211824,way/671811998,,bus_station,,yes,,,Ikorodu Bus Terminal,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.3996014,6.6054707,way/671812228,,bus_station,,,,,Mile 12 Bus Terminal,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.4009949,6.4457171,way/671991257,,bus_station,,yes,,,Tafawa Balewa Square Bus Terminal,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.3512365,6.5549164,way/693552184,,bus_station,yes,yes,,,Oshodi Transport Interchange - Terminal 1,,,,station,,center,5,Intercity Buses,,,,,,,,,,,,,,,,,
Point,3.3508371,6.5558137,way/693552185,,bus_station,yes,yes,,,Oshodi Transport Interchange - Terminal 2,,,,station,,center,5,Buses to Lagos West,,,,,,,,,,,,,,,,,
Point,3.3527121,6.5565932,way/693552186,,bus_station,yes,yes,,,Oshodi Transport Interchange - Terminal 3,,,,station,,center,5,Buses to Lagos East,,,,,,,,,,,,,,,,,
Point,3.3389089,6.5913427,way/704979167,,bus_station,,yes,,,Ikeja Bus Terminal,,,,station,,center,,,Q55614308,en:Ikeja Bus Terminal,,,,,,,,,,,,,,,
Point,3.3829185,6.4808714,way/706089072,,bus_station,,yes,,,Oyingbo Bus Terminal,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.3948449,6.5184219,way/707240101,,bus_station,,yes,,,Unilag Shuttle Bus Station,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.3707987,6.5108145,way/707609369,,bus_station,,yes,,,Yaba Bus Terminal,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.2995352,6.6177716,way/734438177,,bus_station,,yes,,,,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.3015609,6.6203217,way/734438184,,bus_station,,yes,,,,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.408711,6.4495785,way/738528609,,bus_station,,yes,,,Obalende Bus Terminus,,,,station,,center,,,,,Obalende Bus Terminus,,,,,,,,,,,,,,
Point,3.2410528,6.5515807,way/738682066,,bus_station,,yes,,,Igando,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.3987707,6.6055342,way/747160992,,bus_station,,yes,,,,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.2706408,6.672253,way/787313504,,bus_station,,yes,,,,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.3242665,6.5557377,way/1144287447,,bus_station,,yes,,,Mafoluku Bus Terminal,,,,station,,center,,,Q107313445,en:Mafoluku Bus Terminal,,,,,,,,,,,,,,,
Point,3.3693166,6.4818513,way/1278524425,,bus_station,,yes,,,Costain Bus stop,,,,station,,center,,,,,,Surulere,101241,"Costain, Western Avenue",yes,yes,yes,yes,asphalt,,,,,,
Point,3.3434118,6.5762329,way/1321707672,,bus_station,,yes,,,,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.3416926,6.5804734,way/1321707835,,bus_station,,yes,,,,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.3453983,6.5713414,way/1321708000,,bus_station,,yes,,,,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.3385571,6.5881961,way/1321709197,,bus_station,,yes,,,,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.3354335,6.595834,way/1321709319,,bus_station,,yes,,,,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.479059,6.620123,way/1321785654,,bus_station,,yes,,,,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.318993,6.607008,way/1321834204,,bus_station,,yes,,,,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.3269586,6.6080911,way/1321835039,,bus_station,,yes,,,,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.2996939,6.629289,way/1321836890,,bus_station,,yes,,,,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.301423,6.6337588,way/1321837211,,bus_station,,yes,,,Ile-Epo Bus Stop,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.3046644,6.6420831,way/1321838523,,bus_station,,yes,,,Katangua Bus Stop,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.2998161,6.6206392,way/1321839817,,bus_station,,yes,,,,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.3495457,6.5611423,way/1323241558,,bus_station,,yes,,,,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.3052905,6.6119449,way/1323280714,,bus_station,,yes,,,,,,,station,,center,,,,,,,,,,,,,,,,,,,
Point,3.3417422,6.6325013,node/2583682650,,bus_station,,,,,Ogba Bus Park,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2677866,6.548011,node/3085114191,,bus_station,,,,,Ikotun Terminal,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2679981,6.5493778,node/3085114204,,bus_station,,,,,Ikotun Bus Station,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4073759,6.4496353,node/4755897332,,bus_station,,yes,,,Obalende Motor Park,,,,station,,,,,,,Obalende Motor Park,,,,,,,,,,,,,,
Point,3.2664893,6.6129532,node/4932079181,,bus_station,,,,,Liberty Bus-Stop,,,,,,,,Bus-Stop,,,,,,,,,,,,,,,,,
Point,3.5185824,6.5891618,node/6371384382,,bus_station,,yes,,,Igbogbo Bus Terminus,,,Lagos state Govt,station,,,,,,,,,,,,,,,,,,,,,
Point,3.3757771,6.4934417,node/9932502617,,bus_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.7506526,37.0849613,node/11446109284,,bus_station,,yes,,,Montinhos da Luz,,,,platform,,,,,,,,,,,,,,,,no,no,"Verify position, unclear where the bus will stop.",bus_stop,no,no
