geom_type,lon,lat,@id,amenity,building,healthcare,name,@geometry,healthcare:speciality,operator,opening_hours,addr:city,addr:housenumber,addr:street,alt_name,contact:phone,website,phone,name:en,fixme,beds,emergency,operator:type,source,staff_count:doctors,staff_count:nurses,check_date,contact:website,facility_manager,source:position,status,users_PLWD,users_boy,users_elderly,users_female,users_girl,users_men,facility_use
Point,-8.6884327,37.1018534,way/93405333,clinic,yes,clinic,Centro de Saúde de Lagos,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4005123,6.4568754,way/679723520,clinic,yes,clinic,Staff clinic,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3965452,6.5145423,way/707234131,clinic,,clinic,UNILAG Medical Centre,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5020761,6.612393,way/742626640,clinic,,birthing_centre,Primary Health center,center,general;clinic,Lagos state Govt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3849269,6.4880478,way/775431197,clinic,,clinic,Ebute Metta Health Centre,center,,,Mo-Sa 09:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.6278584,6.5799801,way/776290326,clinic,,clinic,Agura Primary Health Care Centre,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5085071,6.6315215,way/778868263,clinic,,clinic,Agbala Paediatric Centre,center,,Lagos State Health Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5063717,6.6281553,way/778868277,clinic,,clinic,Eye Foundation Hospital,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3063372,6.6026497,way/790879205,clinic,,clinic,Crystal Specialist Hospital,center,,,,Lagos,148/150,Akowonjo Road,Crystal Specialist Hospital Akowonjo,+234 808 800 0757,https://crystalhospitalng.com/,,,,,,,,,,,,,,,,,,,,,
Point,3.5834039,6.5022878,way/801924039,clinic,,clinic,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3286882,6.4486042,way/826320802,clinic,yes,clinic,St Charles Clinic,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3401834,6.5564541,way/827077205,clinic,yes,clinic,De Joseph Medical Convalescent Health Centre,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.6490324,6.4710031,way/961289126,clinic,yes,clinic,Dalet Hospital,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6914034,37.1012541,node/3258684483,clinic,,clinic,Lagos Foot Clinic,,,,,,,,,,www.algarvefeet.com,+351 911 967 586,,,,,,,,,,,,,,,,,,,,
Point,3.4304727,6.4481938,node/4612445990,clinic,,clinic,Gilgal Dental Clinics,,,,,,,,,,,,Gilgal Dental Clinics,,,,,,,,,,,,,,,,,,,
Point,3.3944013,6.457865,node/4875180826,clinic,,clinic,Anikantamo Health Post,,,,,,,,,,,,,"Please, adjust position (located in that area)",,,,,,,,,,,,,,,,,,
Point,3.3927007,6.4634177,node/4875180831,clinic,,clinic,Adeniji Adele PHC,,,,,,,,,,,,,check location,,,,,,,,,,,,,,,,,,
Point,3.3901511,6.4653226,node/4875180836,clinic,,clinic,Zenith PHC,,,,,,,,,,,,,check location,,,,,,,,,,,,,,,,,,
Point,3.3850774,6.4601397,node/4919362887,clinic,,clinic,Oke Ari Health Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3820358,6.4593154,node/4919388470,clinic,,clinic,Olowogbowo Primary Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3102131,6.5411327,node/5665683279,clinic,,,Rivet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3996987,6.4507465,node/6934060319,clinic,,clinic,Runsewe Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.495054,6.6244751,node/7272034345,clinic,,clinic,Ire-Anu Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3429411,6.5720068,node/7715084963,clinic,,clinic,Geo Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
