geom_type,lon,lat,@id,admin_level,admin_name,amenity,boat_rental,cargo,ferry_stop_id,name,notes,operational_status,operator,operator_name,public_transport,source:name,source_date,addr:street,alt_name,ferry,@geometry,website,building,source,check_date,wheelchair,amenity:note,boat:rental,survey:date,operator:name,description
Point,3.9753605,6.5676386,node/24088062,6,epe,ferry_terminal,true,passengers,155,eyin osa,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,,,,,,,,
Point,3.4272504,6.4424775,way/593494003,,,ferry_terminal,,,,Five Cowries Terminal,,,,,station,,,Falomo Roundabout,Falomo Ferry Terminal,yes,center,,,,,,,,,,
Point,3.4174934,6.4641332,way/593494006,,,ferry_terminal,,,,Texas Connection Ferries,,,,,station,,,,,yes,center,http://www.texasconnectionferries.com/,,,,,,,,,
Point,3.4861682,6.6022577,way/659370442,,,ferry_terminal,,,,Ikorodu Ferry Terminal,,,,,station,,,,,yes,center,,,,,,,,,,
Point,3.2588115,6.4279956,way/1258445858,,,ferry_terminal,,,,Ijegun Egba Ferry Terminal,,,,,station,,,,,yes,center,,yes,,,,,,,,
Point,3.3353271,6.4328981,node/1693429425,,,ferry_terminal,,,,Tin Can Island Jetty,,,,,station,,,,,yes,,,,,,,,,,,
Point,3.3348663,6.4275549,node/1931521270,,,ferry_terminal,,,,Snake Island,,,,,station,,,,,yes,,,,,,,,,,,
Point,2.8608538,6.4456062,node/3741784352,6,epe,ferry_terminal,true,passengers,88,iya afin jetty,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,2.7098424,6.4308308,node/3917934912,6,badagry,ferry_terminal,true,passengers,156,farasime,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,-8.6707048,37.1026351,node/4561399397,,,ferry_terminal,,,,Vai Vem,,,,,station,,,,,yes,,,,,2024-09-05,,,,,,
Point,-8.6711648,37.1023738,node/4561399398,,,ferry_terminal,,,,Vai Vem,,,,,station,,,,,yes,,,,,2024-09-05,no,,,,,
Point,3.3492876,6.422177,node/5608986816,6,Amuwo_Odofin,ferry_terminal,true,passengers,78,Ilutuntun,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,"this location is a ferry landing with active commercial ferry activity; however, the facility is less developed and lacks well-engineered structures.",false,2025-02-22,,
Point,3.6152347,6.5121953,node/6274161420,6,eti osa,ferry_terminal,true,passengers,200,Badore Ferry Terminal,admin_level 6 represents local government areas,operational,public,lagos state waterways authority (laswa),stop_position,public tech studio,2026-04-21,,,yes,,,,survey,,,,,,,
Point,3.5893558,6.5631532,node/6274179100,,,ferry_terminal,,,,,,,,,station,,,,,yes,,,,,,,,,,,
Point,3.5529637,6.5360487,node/6274197913,,,ferry_terminal,,,,Bayeku Ferry Terminal,,,,,station,,,,,yes,,,,,,,,,,,
Point,3.3898032,6.449149,node/6274484744,,,ferry_terminal,,,,Marina/CMS Ferry Terminal,,,,,station,,,,,yes,,,,,,,,,,,
Point,3.2055279,6.4529056,node/6274563687,6,Ojo,ferry_terminal,true,passengers,9,Ebute Ojo/Sifax Ferry Terminal,admin_level 6 represents local government areas,operational,public,lagos state waterways authority (laswa),stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,this location is a ferry terminal with active commercial ferry activity.,false,2025-02-22,Lagos State Waterways Authority (LASWA),
Point,3.4000365,6.5283141,node/6274678046,,,ferry_terminal,,,,Ilaje Waterfront Jetty Terminal Bariga,,,,,station,,,,,yes,,,,,,,,,,,
Point,3.4419567,6.4367766,node/6274815661,6,eti osa,ferry_terminal,true,passengers,7,Addax Jetty,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,yes,,,,survey,,,,,,,addax/sandfill/maroko (victoria island)
Point,3.007838,6.4136127,node/6274968417,,,ferry_terminal,,,,Iworo Ajido Jetty,,,,,station,,,,,yes,,,,,,,,,,,
Point,3.3591741,6.4390651,node/6275791741,,,ferry_terminal,,,,Apapa Liverpool Jetty,,,,,station,,,,,yes,,,,,,,,,,,
Point,3.4072016,6.5479311,node/6275791800,,,ferry_terminal,,,,Oworonsoki Jetty,,,,,station,,,,,yes,,,,,,,,,,,
Point,3.3350936,6.4334868,node/6275791838,,,ferry_terminal,,,,Tin Can Island,,,,,station,,,,,yes,,,,,,,,,,,
Point,3.3345224,6.4274708,node/6275791856,6,Amuwo_Odofin,ferry_terminal,true,passengers,67,igbologun/snake island,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,"this location is a ferry landing with active commercial ferry activity; however, the facility is less developed and lacks well-engineered structures.",false,2025-02-22,,
Point,3.6004257,6.5596115,node/6275791912,,,ferry_terminal,,,,Ijede Ferry terminal,,,,,station,,,,,yes,,,,,,,,,,,
Point,3.3749228,6.4477053,node/6288815547,6,apapa,ferry_terminal,true,passengers,5,flour mills (apapa),admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,yes,,,,survey,,,,,,,
Point,3.4076895,6.5824363,node/6650429120,,,ferry_terminal,,,,,,,,,stop_position,,,,,yes,,,,,,,,,,,
Point,3.1451277,6.4492651,node/6863270040,6,ojo,ferry_terminal,true,passengers,141,isofin,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.4080514,6.5823956,node/7373636137,,,ferry_terminal,,,,,,,,,stop_position,,,,,yes,,,,,,,,,,,
Point,3.4109586,6.5779141,node/9199486279,,,ferry_terminal,,,,,,,,,stop_position,,,,,yes,,,,,,,,,,,
Point,3.4081182,6.5806821,node/9202448060,,,ferry_terminal,,,,,,,,,stop_position,,,,,yes,,,,,,,,,,,
Point,3.4123068,6.5808405,node/9202448061,,,ferry_terminal,,,,,,,,,stop_position,,,,,yes,,,,,,,,,,,
Point,3.4081789,6.5824294,node/9202454634,6,kosofe,ferry_terminal,false,passengers,20,agboyi 3,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.2165292,6.4076358,node/11761389011,6,Amuwo_Odofin,ferry_terminal,true,passengers,100,Mikano,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,this location is a ferry landing with active commercial ferry activity.,false,2025-02-22,,
Point,3.3699936,6.4346321,node/12285854990,6,Apapa,ferry_terminal,true,passengers,27,Allens Unit/Alex Apapa,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,"this location is a ferry landing with active commercial ferry activity; however, the facility is less developed and lacks well-engineered structures.",true,2025-02-22,,
Point,3.4357618,6.4891958,node/12814049769,6,Amuwo_Odofin,ferry_terminal,,passengers,136,Kirikiri,admin_level 6 represents local government areas,operational,private,,stop_position,stears open data,,,,,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,false,2025-02-22,,
Point,3.4253303,6.4395559,node/12814049788,6,Eti_Osa,ferry_terminal,,passengers,111,Law School (VI),admin_level 6 represents local government areas,operational,private,,stop_position,stears open data,,,,,,,,survey,,,this location is a ferry landing with active commercial ferry activity.,false,2025-02-22,,
Point,3.2524696,6.4119709,node/12814049800,6,Amuwo_Odofin,ferry_terminal,,passengers,95,Police,admin_level 6 represents local government areas,operational,private,,station,stears open data,,,,yes,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,false,2025-02-22,,
Point,3.6361125,6.5713252,node/12814051312,6,Ikorodu,ferry_terminal,true,passengers,58,Gberigbe,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,"this location is a ferry landing with active commercial ferry activity; however, the facility is less developed and lacks well-engineered structures.",false,2025-02-22,,
Point,3.6001959,6.5602161,node/12814051313,6,Ikorodu,ferry_terminal,true,passengers,81,Egbin,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,"this location is a ferry landing with active commercial ferry activity; however, the facility is less developed and lacks well-engineered structures.",false,2025-02-22,,
Point,3.4096251,6.5796715,node/12814051315,6,Kosofe,ferry_terminal,true,passengers,78,Olookan Stop,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,"this location is a ferry landing with active commercial ferry activity; however, the facility is less developed and lacks well-engineered structures.",false,2025-02-22,,
Point,3.5790296,6.4906331,node/12814051317,6,Eti_Osa,ferry_terminal,true,passengers,109,Oke Ira Nla (Ajah),admin_level 6 represents local government areas,operational,public,lagos state waterways authority (laswa),stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,false,2025-02-22,,
Point,3.4041996,6.4405074,node/12814051318,6,Lagos Island,ferry_terminal,true,passengers,73,Port/Checkpoint,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,this location is a ferry landing with active commercial ferry activity.,true,2025-02-22,,
Point,3.4108125,6.5798309,node/12814051325,6,Kosofe,ferry_terminal,,passengers,66,Agboyi 3/Oko Agbon,admin_level 6 represents local government areas,operational,private,,stop_position,stears open data,,,,,,,,survey,,,"this location is a ferry landing with active commercial ferry activity; however, the facility is less developed and lacks well-engineered structures.",false,2025-02-22,,
Point,3.1438847,6.4493606,node/12814051330,6,Ojo,ferry_terminal,true,passengers,59,Etegbin,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,"this location is a ferry landing with active commercial ferry activity; however, the facility is less developed and lacks well-engineered structures.",false,2025-02-22,Lagos State Waterways Authority (LASWA),
Point,3.5890471,6.5632172,node/12814051341,6,Ikorodu,ferry_terminal,true,passengers,30,Ijede,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,false,2025-02-22,Lagos State Waterways Authority (LASWA),
Point,3.4861459,6.6017283,node/12814051343,6,Ikorodu,ferry_terminal,true,passengers,3,Ikorodu Terminal,admin_level 6 represents local government areas,operational,public,lagos state waterways authority (laswa),stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,this location is a ferry terminal with active commercial ferry activity.,true,2025-02-22,Lagos State Waterways Authority (LASWA),
Point,3.553069,6.536139,node/12814051344,6,Ikorodu,ferry_terminal,true,passengers,19,Baiyeku,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,false,2025-02-22,Lagos State Waterways Authority (LASWA),
Point,3.3897778,6.4494976,node/12814051346,6,Lagos Island,ferry_terminal,true,passengers,17,Marina/CMS,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,true,2025-02-22,Lagos State Waterways Authority (LASWA),
Point,3.5008848,6.5393678,node/12814051351,6,Ikorodu,ferry_terminal,true,passengers,14,"Offin, Ikorodu",admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,false,2025-02-22,Lagos State Waterways Authority (LASWA),
Point,3.2622631,6.4257939,node/12814687041,6,Amuwo_Odofin,ferry_terminal,true,passengers,125,second rainbow landing,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,"this location is a ferry landing with active commercial ferry activity; however, the facility is less developed and lacks well-engineered structures.",true,2025-02-22,,
Point,3.2587021,6.4278627,node/12814687042,6,Amuwo_Odofin,ferry_terminal,true,passengers,70,Ijegun Egba,admin_level 6 represents local government areas,operational,public,lagos state waterways authority (laswa),stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,false,2025-02-22,Lagos State Waterways Authority (LASWA),
Point,3.4593349,6.4477684,node/12814687055,6,Eti_Osa,ferry_terminal,,passengers,68,Alluvia Marine/Afisco (Lekki 1),admin_level 6 represents local government areas,operational,private,,station,stears open data,,,,yes,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,true,2025-02-22,,
Point,3.3824785,6.4627403,node/12814705879,6,Lagos Island,ferry_terminal,true,passengers,1,Ebute Ero,admin_level 6 represents local government areas,operational,public,lagos state waterways authority (laswa),stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,this location is a ferry landing with active commercial ferry activity.,false,2025-02-22,Lagos State Waterways Authority (LASWA),
Point,3.3592549,6.4276603,node/12814706436,6,Amuwo_Odofin,ferry_terminal,true,passengers,85,itu agan/itun agan,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,"this location is a ferry landing with active commercial ferry activity; however, the facility is less developed and lacks well-engineered structures.",true,2025-02-22,,
Point,3.3591485,6.439056,node/12814706438,6,Apapa,ferry_terminal,true,passengers,10,Liverpool (Apapa),admin_level 6 represents local government areas,operational,public,lagos state waterways authority (laswa),stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,true,2025-02-22,Lagos State Waterways Authority (LASWA),
Point,3.2943095,6.4745902,node/12814706439,6,Amuwo_Odofin,ferry_terminal,,passengers,133,Capital Oil,admin_level 6 represents local government areas,operational,private,,station,stears open data,,,,yes,,,,survey,,,"this location is a ferry jetty with active commercial ferry activity; however, the facility is less developed and lacks well-engineered structures.",true,2025-02-22,,
Point,3.4048651,6.4359713,node/12814706460,6,Eti_Osa,ferry_terminal,false,passengers,104,Bonny Camp (VI),admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,false,2025-02-22,,
Point,3.204243,6.4531681,node/12814706466,6,Ojo,ferry_terminal,true,passengers,107,Ojo Market waterside,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,this location is a ferry landing with active commercial ferry activity.,true,2025-02-22,,
Point,3.1993161,6.4195553,node/12814706541,6,Ojo,ferry_terminal,true,passengers,89,Iyagbe,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,true,2025-02-22,,
Point,3.2236757,6.406095,node/12814706557,6,Amuwo_Odofin,ferry_terminal,true,passengers,122,Salt Beach,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,this location is a ferry landing with active commercial ferry activity.,true,2025-02-22,,
Point,3.3999032,6.528356,node/12814706577,6,Somolu,ferry_terminal,true,passengers,32,Bariga Waterfront,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,true,2025-02-22,,
Point,3.2553651,6.4250613,node/12814706580,6,Amuwo_Odofin,ferry_terminal,true,passengers,59,Ibasa,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,false,2025-02-22,,
Point,3.2556393,6.4115215,node/12814706589,6,Amuwo_Odofin,ferry_terminal,true,passengers,62,Ibeshe Palace,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,false,2025-02-22,,
Point,3.1443087,6.4497223,node/12814706591,6,Ojo,ferry_terminal,true,passengers,106,Ese Ofin,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,false,2025-02-22,,
