geom_type,lon,lat,@id,building,height,name,office,official_name,website,@geometry,addr:city,addr:housenumber,addr:street,building:levels,alt_name,short_name,addr:postcode,government,operator,source,check_date,opening_hours,survey:date,email,phone
Point,3.4271419,6.4422291,way/533818615,yes,15,LASWA,government,Lagos State Waterways Authority,https://laswa.lagosstate.gov.ng/,center,,,,,,,,,,,,,,,
Point,3.4331482,6.4465561,way/570559553,,,Lagos State Judiciary,government,,,center,,,,,,,,,,,,,,,
Point,3.4128303,6.4364143,way/595561656,,,The Department of Petroleum Resources -- Lagos Zonal Office,government,,,center,Lagos,7,Kofo Abayomi Road,,,,,,,,,,,,
Point,3.4123272,6.4438042,way/599933126,,,Federal Inland Revenue Service -- Lagos Office,government,,,center,,,,,,,,,,,,,,,
Point,3.3602827,6.6169382,way/610896802,yes,30,Ministry of Education,government,,,center,,,,,,,,,,,,,,,
Point,3.3614611,6.617408,way/610896804,yes,30,Cabinet Office,government,,,center,,,,,,,,,,,,,,,
Point,3.3612408,6.6162834,way/610896805,yes,30,Ministry of Housing,government,,,center,,,,,,,,,,,,,,,
Point,3.3600592,6.6144089,way/610896809,yes,17,Ministry of Science and Technology,government,,,center,,,,3,,,,,,,,,,,
Point,3.3605053,6.6150333,way/610896830,yes,17,Ministry of Civil Service Comission,government,,,center,,,,,,,,,,,,,,,
Point,3.362007,6.6150132,way/610896832,yes,17,Ministry of Home Affairs,government,,,center,,,,,,,,,,,,,,,
Point,3.3610644,6.615171,way/610896836,yes,19,Deputy Governors Office,government,,,center,,,,,,,,,,,,,,,
Point,3.3607361,6.6155819,way/610896839,yes,,Lagos State Secretariat,government,,https://lagosstate.gov.ng/,center,Lagos,,Obafemi Awolowo Way,,Alausa Secretariat,,,,,,,,,,
Point,3.3579465,6.6168052,way/610896855,,,National Identity Management Commission,government,,,center,,,,,,,,,,,,,,,
Point,3.5906296,6.5647295,way/742675438,yes,,Ijede Local Council Development Area Secretariat,government,,,center,,,,,,,,,,,,,,,
Point,3.5908402,6.5648884,way/746008858,yes,,Lagos State Independent Electoral Commission,government,,,center,,,,,,LASIEC,,,,,,,,,
Point,3.3605444,6.6251944,way/747457404,yes,,Corporate Affairs Commission,government,,,center,,,,,,,,,,,,,,,
Point,-8.6759243,37.0960533,node/2407687229,,,Finanças SF - Lagos,government,,,,Lagos,"Lote 13, R/C",Rua Capitão Salgueiro Maia,,,,8600-620,tax,Autoridade Tributária e Aduaneira - Lagos,local survey,,,,,
Point,3.3560834,6.6193774,node/5203842828,,,Ikeja Passport Office,government,,,,,,,,,,,,,,,,,,
Point,3.4982249,6.6089117,node/6371454796,,,Ikorodu local Govt,government,,,,,,,,,,,public_service,,,,,,,
Point,3.4978708,6.6081178,node/6371454798,,,vehicle licensing,government,,,,,,,,,,,public_service,,,,,,,
Point,3.4976563,6.6079046,node/6371454799,,,town planners,government,,,,,,,,,,,register_office,,,,,,,
Point,3.3518842,6.5911346,node/7367783186,,,The Nigeria Police - Anti-Bomb EOD,government,,,,,,,,,,,,,,,,,,
Point,-8.6763889,37.1081301,node/7539396723,,,Segurança Social,government,,,,,,,,,,,social_security,,,2026-04-26,Mo-Fr 09:00-17:00,,,
Point,3.3717755,6.5197988,node/9400270517,,,"WAEC office, Yaba",government,,,,,,,,,,,,,,,,2022-01-07,,
Point,3.4111883,6.4431759,node/10131861129,,,Economic and financial crimes commission,government,,https://www.efcc.gov.ng/,,Lagos,,Awolowo Road,,,,,administrative,,,,,,info@efcc.gov.ng,+234 (9) 904 4751
Point,3.3410649,6.5843469,node/12299738960,,,Lagos State Electricity Board,government,,,,Lagos,,Ikeja GRA,,,,101233,,,,,,,,
Point,3.963519,6.4400841,node/13438691225,,,Lekki Free Trade Zone Complex,government,,,,,,,,,,,office,,,,,,,
