geom_type,lon,lat,@id,building,name,tourism,@geometry,alt_name,barrier,heritage,heritage:operator,heritage:ref,heritage:website,heritage:website:sipa,historic,note,operator,protection_title,ref:dgpc,ref:ipa,site_status,source:ref,wikidata,wikipedia,access,bridge,highway,layer,geological,geological:site,natural,official_name,place,website,wikimedia_commons,amenity,addr:city,area,source,disused,start_date,name:en,addr:postcode,addr:street,email,phone,attraction,public_transport,bench,bin,lit,shelter,tactile_paving
Point,-8.6701389,37.0998862,way/92964080,yes,Palácio dos Governadores,attraction,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6473467,37.1174693,way/94750303,,Forte da Meia Praia,attraction,center,Forte de São Roque de Lagos;Forte de São Roque,city_wall,2,dgpc,MIP,https://servicos.dgpc.gov.pt/pesquisapatrimonioimovel/detalhes.php?code=70084,http://monumentos.pt/Site/APP_PagesUser/SIPA.aspx?id=2840,fort,Info: https://servicos.dgpc.gov.pt/pesquisapatrimonioimovel/detalhes.php?code=70084,Guarda Nacional Repúblicana (Antiga Guarda Fiscal),Monumento de Interesse Público,70084,2840,Classificado,https://dre.pt/application/file/66734714,Q10283728,pt:Forte da Meia Praia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6669968,37.0957785,way/233089724,,Ponte do Antigo Forte do Pinhão,attraction,center,,,,,,,,,private area - no public access,,,,,,,,,private,yes,footway,1,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6711892,37.0831221,way/373743348,,Carso Litoral da Ponta da Piedade,attraction,center,,,,,,,,,,,,,,,,Q2103673,en:Ponta da Piedade,,,,,karst,geosite,bare_rock,"Carso litoral da Ponta da Piedade, Ponta de João Arens e Carvoeiro",locality,https://geossitios.progeo.pt/geosites/carso-litoral-da-ponta-da-piedade-ponta-de-joao-arens-e-carvoeiro,Category:Ponta da Piedade,,,,,,,,,,,,,,,,,,
Point,3.3568854,6.6228654,way/610011158,,New Afrika Shrine,attraction,center,,,,,,,,,,,,,,,,Q25045334,en:New Afrika Shrine,,,,,,,,,,,,nightclub,,,,,,,,,,,,,,,,,
Point,-8.6196422,37.1303822,way/1191372255,,Algarve Kite Center,attraction,center,,,,,,,,,,https://algarvekitecenter.com/,,,,,,,,,,,,,,,,,,,,Odiáxere,yes,,,,,,,,,,,,,,,
Point,-8.7164095,37.0852864,way/1376664956,,Rocha Negra,attraction,center,,,,,,,,,,,,,,,,,,,,,,volcanic_lava_tube,geosite,bare_rock,,locality,,,,,,https://www.researchgate.net/publication/279441866_Luz_beach_magmatism_a_geosite_regarded_as_a_local_and_regional_factor_in_the_heritage_economic_and_touristic_development,,,,,,,,,,,,,,
Point,-8.6711081,37.0995187,node/3995964162,,Pelourinho de Lagos,attraction,,,,,,,,,pillory,,,,,,,,Q10348121,pt:Pelourinho de Lagos,,,,,,,,,,,,,,,,yes,C16,,,,,,,,,,,,
Point,3.3918804,6.3942453,node/4755886706,,Lighthouse Beach,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lighthouse Beach,,,,,,,,,,,
Point,3.1668099,6.4034252,node/5538723221,,Agaja beach,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6756376,37.1215917,node/5566338129,,Wake Salinas,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6308565,37.1258632,node/5807150853,,Kitesurfing Spot,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6730095,37.1060281,node/6047624185,,Réplica da Caravela Boa Esperança,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6684186,37.1164073,node/6711030886,,Algarve Watersport,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.algarvewatersport.com/,,,,,,,,,8600-302,Estrada da Albadeira,info@algarvewatersport.com,+351 960 460 800,,,,,,,
Point,-8.6696062,37.0913289,node/7124561743,,Passeio às grutas,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6618279,37.111549,node/8010904702,,6 Meia Praia Vila Galé - Comboio Turistico,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://touristtrainlagos.com/,,,,,,,,,,,,,train,platform,,,,,
Point,-8.6593104,37.1129197,node/8010904703,,7 Meia Praia Dom Pedro - Comboio Turistico,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://touristtrainlagos.com/,,,,,,,,,,,,,train,platform,,,,,
Point,-8.6523478,37.1168065,node/8010904704,,8 Meia Praia Iberostar Hotel - Comboio Turistico,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://touristtrainlagos.com/,,,,,,,,,,,,,train,platform,,,,,
Point,-8.6487511,37.1184416,node/10074663370,,9 Meia Praia Forte São Roque - Comboio Turistico,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://touristtrainlagos.com/,,,,,,,,,,,,,train,platform,,,,,
Point,-8.6736846,37.1080978,node/10074691259,,1 Marina - Comboio Turistico,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://touristtrainlagos.com/,,,,,,,,,,,,,train,platform,no,no,yes,no,no
Point,-8.6718655,37.1027689,node/10074709982,,2 Avenida dos Descobrimentos - Comboio Turistico,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://touristtrainlagos.com/,,,,,,,,,,,,,train,platform,,,,no,
Point,-8.6720752,37.1033391,node/10074709983,,5 Avenida dos Descobrimentos - Comboio Turistico,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://touristtrainlagos.com/,,,,,,,,,,,,,train,platform,yes,yes,,yes,no
Point,-8.6700044,37.0914429,node/10074774152,,4 Praia Dona Ana - Comboio Turistico,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://touristtrainlagos.com/,,,,,,,,,,,,,train,platform,no,,,no,
Point,-8.669437,37.0811197,node/10074790254,,3 Ponta da Piedade - Comboio Turistico,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://touristtrainlagos.com/,,,,,,,,,,,,,train,platform,no,no,no,no,no
