geom_type,lon,lat,@id,addr:housenumber,addr:street,amenity,building,check_date,contact:phone,contact:website,emergency,healthcare,name,operator:type,@geometry,wikidata,wikipedia,healthcare:speciality,short_name,website,addr:city,height,start_date,surface,alt_name,operator,health_facility:type,level,opening_hours,source,fixme,addr:postcode,name:pcm,mobile,contact:facebook,description,email,payment:cash,payment:debit_cards,phone,facility_manager,source:position,status,users_PLWD,users_boy,users_elderly,users_female,users_girl,users_men,facility_use,contact:instagram
Point,-8.6820689,37.0978853,way/93276413,129,Avenida Dom Sebastião,hospital,yes,2024-08-19,+351 282 770 100,https://www.chualgarve.min-saude.pt/contactos/,yes,hospital,Hospital Terras do Infante,public,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3869044,6.552461,way/394119616,,,hospital,,,,,,hospital,Gbagada General Hospital,,center,Q48743188,en:Gbagada General Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3706452,6.5314302,way/525043228,,,hospital,,,,,,hospital,National Orthopaedic Hospital Igbobi,,center,Q23023017,en:National Orthopaedic Hospital,orthopaedics,NOHIL,https://www.nohlagos.gov.ng/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.437423,6.4458508,way/556508170,17B,Bourdillon Road,hospital,,,,,,hospital,Gold Cross Hospital - Bourdillon,,center,,,,,,Lagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3571576,6.5834582,way/568367654,,,hospital,,,,,,hospital,Reddington Hospital - Ikeja GRA,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4204157,6.4329787,way/594743340,,Idowu Martins Street,hospital,,,,,,hospital,Reddington Hospital,,center,Q20047289,en:Reddington Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4562444,6.4395153,way/595195260,,,hospital,,,,,,hospital,Eye Foundation Hospital & Laser Centre,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4563223,6.4395901,way/595195261,,,hospital,yes,,,,,,,,center,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5054285,6.4347517,way/643481485,,,hospital,,,,,,hospital,St. Kizito Clinic & Maternity Ward,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4290507,6.4428498,way/659370489,,,hospital,,,,,,hospital,Nigerian Police Hospital - Falomo,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3966328,6.4474086,way/672092174,,,hospital,,,,,,hospital,General Hospital Lagos,,center,Q19874986,en:Lagos Island General Hospital,,,http://www.ghlagos.org.ng,,,1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3422014,6.5895386,way/704991085,,,hospital,,,,,,hospital,Lagos State University Teaching Hospital,,center,Q28449098,en:Lagos State University Teaching Hospital,,LASUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2519734,6.5614643,way/705800031,,,hospital,,,,,,hospital,Alimosho General Hospital Igando,,center,,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4054336,6.4446953,way/705859954,,,hospital,,2026-03-03,,,,hospital,Onikan Health Centre,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3976597,6.4492553,way/705874362,,,hospital,,2026-03-02,,,,hospital,St Nicholas Hospital,,center,Q18392690,"en:St. Nicholas Hospital, Lagos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3973883,6.4486491,way/705874363,,,hospital,,2026-03-02,,,,hospital,Lagos Island Maternity Hospital,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3922468,6.4550636,way/707003778,,,hospital,,,,,,hospital,Massey Street Children Hospital,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3022453,6.4615407,way/707257732,,,hospital,,,,,,hospital,Amuwo Odofin Maternal & Childcare Centre,,center,,,,,http://www.amuwomcc.org.ng/,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2895368,6.4757329,way/707258933,,,hospital,,,,,,hospital,Emel Hospital,,center,,,,,https://www.emelhospital.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
