geom_type,lon,lat,@id,building,check_date,name,stars,tourism,@geometry,addr:housename,addr:city,addr:postcode,addr:street,contact:phone,contact:website,landuse,air_conditioning,bar,brand,brand:wikidata,contact:facebook,contact:instagram,description,email,image,internet_access,internet_access:fee,opening_hours,operator,payment:credit_cards,payment:debit_cards,phone,reservation,rooms,smoking,source,website,wheelchair,wikidata,addr:housenumber,height,check_date:internet_access,breakfast,swimming_pool,building:part,alt_name,name:en,name:zh,brand:wikipedia,start_date,wikipedia,access,leisure,amenity,park_ride,parking,supervised,surface,addr:country,building:levels,addr:state,payment:american_express,payment:cash,payment:cheque,payment:mastercard,payment:visa,contact:email,contact:fax,contact:mobile,layer,payment:diners_club,payment:discover_card,payment:maestro,payment:visa_electron,note,addr:place,name:nl,name:pt,internet_access:ssid,facility_manager,source:position,status,facility_use,users_PLWD,users_boy,users_elderly,users_female,users_girl,users_men,accommodation
Point,-8.6727105,37.1110671,way/92717404,yes,2026-04-06,Marina Club,4,hotel,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6725998,37.1116734,way/92717630,yes,,Marina Club,4,hotel,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6731895,37.1115185,way/92717632,yes,2026-05-02,Marina Club,4,hotel,center,Edifício Estibordo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.676625,37.0893679,way/94840403,,,,,hotel,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.673635,37.0943697,way/95029170,yes,,Aqualuz Suite Hotel Apartamentos,,hotel,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.673063,37.0943896,way/95029174,yes,,Aqualuz Suite Hotel Apartamentos,,hotel,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6734681,37.0948563,way/95029176,yes,,Aqualuz Suite Hotel Apartamentos,,hotel,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.7000494,37.184664,way/95671943,,,Monte da Bravura Green Resort,,hotel,center,,Bensafrim,8600-077,Cortifo,+351282688175,http://www.montedabravura.com/,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6858362,37.0892609,way/96587139,yes,,Lagos Atlantic Hotel,,hotel,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6520719,37.1186975,way/158077041,hotel,,Iberostar Selection Lagos Algarve,5,hotel,center,,São Gonçalo de Lagos,8600-315,Estrada da Meia Praia,,,,yes,yes,Iberostar Hotels & Resorts,Q2035939,https://www.facebook.com/IberostarLagosAlgarve/,https://www.instagram.com/iberostar/,"The Iberostar Selection Lagos Algarve is 5-star family hotel located on Meia Praia beach with a wide range of services including spa area, All Inclusive board, fitness room, outdoor and indoor swimming pools, animation, free Wi-Fi and comfort rooms.",lagos.algarve@iberostar.com,https://apiimg.iberostar.com/uploads/image/45650/crops/1366:797/1366/image.jpeg,yes,no,24/7,IBEROSTAR Hotels & Resorts,yes,yes,+351 282 244 000,yes,220,outside,local knowledge;www.iberostar.com,https://www.iberostar.com/en/hotels/algarve/iberostar-lagos-algarve/,yes,Q111408748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.7390508,37.0835887,way/238533675,yes,,Hotel Villa Luz,,hotel,center,,"Praia da Luz, Lagos",8600-119,Ponta da Gaivota,,,,,,,,,,,,,,,,,,,+351 282 771 110,,,,,https://www.vila-luz.com/,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5300315,6.4429206,way/304931116,yes,,Marco Polo Hotel,,hotel,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.7250328,37.0896065,node/339159720,,,Luz Bay Club,4,hotel,,,,,,,,,,,,,,,,geral@luzbayhotel.pt,,wlan,yes,,,,,+351 282789640,,73,,,http://www.luzbayhotel.pt/,,,,,2026-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6743109,37.1012856,way/374921961,yes,,Bowen Luxury Suites,,hotel,center,,Lagos,8600-685,Rua da Amêndoeira,,,,,,,,,,,,,,,,,,,+351 282 185 723,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6709138,37.0976937,way/374956413,yes,2026-04-16,Baluarte da Vila Apartments,,hotel,center,,Lagos,8600-518,Largo Santa Maria da Graça,,,,,,,,,,,,,wlan,no,,,,,+351 911 873 540,,20,,,http://www.baluartedavila.com/,,,9,,,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.9471611,6.5875672,way/379367676,,,Epe Resort and Spa,,hotel,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6733822,37.1125291,node/418719768,,2023-10-19,Marina de São Roque,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6729166,37.1008127,node/418723899,,2026-04-14,Riomar,3,hotel,,,Lagos,,Rua Cândido dos Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6730488,37.1010738,node/418723900,,,Casa de São Gonçalo,5,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.7201287,37.0997964,way/463218353,,,Vila Valverde - Design & Country-Hotel,,hotel,center,,Lagos,8600-209,Estrada da Praia da Luz,,http://www.vilavalverde.com/,commercial,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.684754,37.0864732,way/475254983,,,Clube Porto Mós,,hotel,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.430669,6.426987,way/502455175,yes,,Eko Signature,,hotel,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4375251,6.4392353,way/525377040,yes,,Maroko Bayshore Suites,,hotel,center,,Lagos,,Ozumba Mbadiwe Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,20-24,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4303155,6.429213,way/534108655,yes,,Eko Suites,,hotel,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4436777,6.431022,way/556872678,yes,,The Art Hotel,,hotel,center,,Lagos,,Chief Yesufu Abiodun Way,,,,,,,,,,,,,,,,,,,+234 916 610 5381,,,,,https://arthotelng.com/,,,13A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3300808,6.5523152,way/560564784,yes,,Golden Tulip Essential Airport Hotel Lagos,,hotel,center,,Lagos,,International Airport Road,,,,,,,,,,,,,,,,,,,,,,,,,,,42/44,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3295879,6.5524776,way/560564785,yes,,Max Royal Hotel & Suites,,hotel,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
