geom_type,lon,lat,@id,addr:city,addr:postcode,addr:street,amenity,building,name,operator,operator:wikidata,operator:wikipedia,@geometry,check_date,roof:shape,height,addr:housenumber,historic,shop,landuse,operator:short,wikidata,survey:date,wheelchair,description,operator:type,source:position,branch
Point,-8.6672521,37.1319489,way/158496409,Lagos,8600-306,Largo do Infantário,police,yes,Destacamento de Trânsito de Lagos,Guarda Nacional Republicana,Q1280906,pt:Guarda Nacional Republicana,center,,,,,,,,,,,,,,,
Point,-8.676063,37.1084031,way/422244760,Lagos,8600-645,Avenida dos Descobrimentos,police,yes,Polícia Marítima de Lagos,,,,center,2026-04-11,flat,,,,,,,,,,,,,
Point,3.4485667,6.4519945,way/540869073,,,,police,,Police House,,,,center,,,,,,,,,,,,,,,
Point,3.4269431,6.4549438,way/554313075,,,,police,yes,,,,,center,,,5.0,,,,,,,,,,,,
Point,3.4093919,6.4431065,way/592191559,Lagos,,Awolowo Road,police,,Nigerian Police State Marine HQ,,,,center,,,,26,,,,,,,,,,,
Point,3.4119597,6.423871,way/598999071,,,,police,,Nigeria Police Division HQ Victoria Island,,,,center,,,,,,,,,,,,,,,
Point,3.4030487,6.4418843,way/604386606,,,,police,,Nigerian Police Zone 2 Command HQ,,,,center,2026-03-03,,,,,,,,,,,,,,
Point,3.3572033,6.4894158,node/639043270,,,,police,,Bode Thomas Police Station,Nigerian Police Force,,,,,,,,Police Station,doityourself,,,,,,,,,
Point,3.4162126,6.4472079,way/641988309,,,,police,,Nigerian Police No. 2 Squadron,,,,center,,,,,,,,,,,,,,,
Point,3.4179248,6.446445,way/641988311,Lagos,,Ribadu Road,police,,Nigerian Police Mounted Troop F,,,,center,,,,37,,,,,,,,,,,
Point,3.5030192,6.4334478,way/643481478,,,,police,,Nigerian Police Ilasan Division,,,,center,,,,,,,,,,,,,,,
Point,3.4087229,6.447468,way/738186686,,,,police,,Police Barracks,,,,center,,,,,,,residential,,,,,,,,
Point,3.3610061,6.6195507,way/747457381,,,,police,,Nigeria Police Force Divisional Headquarters,,,,center,,,,,,,commercial,,,,,,,,
Point,3.4804597,6.6406793,way/779131262,,,,police,,The Nigeria Police - Owutu Ikorodu HQT,,,,center,,,,,,,,,,,,,,,
Point,3.3842824,6.5824742,way/780974098,Ogudu,,,police,,"The Nigeria Police, Ogudu",,,,center,,,,,,,,,,,,,,,
Point,3.3715496,6.5602791,way/928308974,,,,police,yes,Nigerian Police Force Area G Command,,,,center,,,,,,,,,,,,,,,
Point,-8.6809757,37.1147261,node/1069566979,Lagos,8600-324,Sitio da Horta do Trigo,police,,Esquadra de Lagos,Polícia de Segurança Pública,Q3460075,en:Polícia de Segurança Pública,,,,,,,,,PSP,,,,,,,
Point,-8.6727979,37.1028748,node/3065765511,,,,police,,Polícia de Segurança Pública,,,,,2025-06-24,,,,,,,,,,,,,,
Point,3.3210474,6.4405446,node/4115245090,,,,police,,,,,,,,,,,,,,,,,,,,,
Point,3.3196197,6.4413099,node/4115245091,,,,police,,,,,,,,,,,,,,,,,,,,,
Point,3.3199144,6.4421638,node/4115245591,,,,police,,,,,,,,,,,,,,,,,,,,,
Point,3.3231428,6.4376655,node/4115245592,,,,police,,,,,,,,,,,,,,,,,,,,,
Point,3.2388137,6.5511288,node/5326846775,,,,police,,Igando Police Station,,,,,,,,,,,,,,,,,,,
Point,3.5179266,6.5896054,node/6371384381,,,,police,,Mobile Police station,Lagos state Govt,,,,,,,,,,,,,,,,,,
Point,3.3857543,6.4954088,node/6976631185,,,,police,,Makoko police post,,,,,,,,,,,,,,,,,,,
Point,3.1852905,6.4730965,node/9534954211,,,,police,,Okoko Police Station,,,,,,,,,,,,,Q125504115,,,,,,
Point,3.3763331,6.5270258,node/9717326117,,,,police,,Bajulaye Police Post,,,,,,,,,,,,,,2022-05-05,no,,,,
Point,3.08858,6.4978844,node/10759773306,,,,police,,Checkpoint,,,,,,,,,,,,,,,,,,,
Point,2.8604262,6.4165769,node/10760691505,,,,police,,Checkpoint,,,,,,,,,,,,,,,,,,,
Point,3.4249289,6.6083405,node/12281565201,,,,police,,,,,,,,,,,,,,,,,,The Nigeria police divisional police headquarters Owode-Onirin Lagos State Command,state government,gps,
Point,3.4124504,6.6027571,node/12281565202,,,,police,,,community,,,,,,,,,,,,,,,,local government,gps,Ifelodun Street
Point,3.1252153,6.4961993,node/13943699535,,,,police,,,,,,,,,,,,,,,,,,,,,
