geom_type,lon,lat,@id,building,name,public_transport,railway,train,@geometry,construction,operator,network,wheelchair,name:en,name:fr,nat_ref,official_name,operator:short,operator:wikidata,railway:ref,wikidata,wikipedia,station,subway,alt_name,start_date
Point,3.3688659,6.4520012,way/981038963,yes,Asiwaju Bola Tinubu Station,station,station,yes,center,,,,,,,,,,,,,,,,,
Point,3.3258341,6.6214964,way/1157159790,yes,Agege LRMT Station,station,station,yes,center,yes,LAMATA,,,,,,,,,,,,,,,
Point,3.3948231,6.4461311,way/1321599125,,Marina Train Station,station,station,yes,center,,LAMATA,LRMT Blue Line,limited,,,,,,,,,,,,,
Point,3.3431438,6.4775221,way/1322974000,,Iganmu,station,station,yes,center,,,,,,,,,,,,,,,,,
Point,3.3243962,6.4643169,way/1322975309,,Alaba,station,station,yes,center,,,,,,,,,,,,,,,,,
Point,3.3116326,6.4598768,way/1322975948,,Mile 2,station,station,yes,center,,,,,,,,,,,,,,,,,
Point,-8.6712947,37.1083314,node/4561570123,,Lagos,station,station,yes,,,Infraestruturas de Portugal,,yes,Lagos Train Station,Gare de Lagos,90464,Estação Ferroviária de Lagos,IP,Q20730106,LAG,Q8780001,pt:Estação Ferroviária de Lagos,,,,
Point,3.3950293,6.4461596,node/10776098576,,Marina,station,station,,,,,,,,,,,,,,,,subway,,,
Point,3.3431174,6.4775535,node/10777382244,,Iganmu,station,station,,,,,,,,,,,,,,,,subway,yes,,
Point,3.3117268,6.4599295,node/10777382245,,Mile 2,station,station,,,,,,,,,,,,,,,,subway,yes,,
Point,3.324479,6.4643875,node/10777382246,,Alaba,station,station,,,,,,,,,,,,,,,,subway,yes,,
Point,3.3687699,6.4746792,node/10777382247,,National Theatre,station,station,,,,,,,,,,,,,,,,subway,yes,,
Point,3.3736846,6.5017657,node/12260658320,,Mobolaji Johnson Station,station,station,yes,,,,,,,,,,,,,Q110571183,,,,Ebute Metta Station,2021-06-10
Point,3.3192707,6.6620776,node/12260658321,,Iju,station,station,,,,,,,,,,,,,,Q130542219,,,,,
Point,3.3261746,6.619459,node/12260658323,,Agege,station,station,yes,,,LAMATA,,,,,,,,,,,,,,,
Point,3.3814602,6.48343,node/12260658324,,Oyingbo,station,station,,,,,,,,,,,,,,Q130542160,,,,,
Point,3.3699982,6.5114693,node/12260658329,,Yaba,station,station,yes,,,,,,,,,,,,,,,,,,
Point,3.3614254,6.5324821,node/12260658330,,Mushin,station,station,yes,,,,,,,,,,,,,,,,,,
Point,3.3514068,6.5572533,node/12260658336,,Oshodi,station,station,yes,,,,,,,,,,,,,Q130542196,,,,,
Point,3.3373455,6.5919092,node/12260658337,,Ikeja,station,station,yes,,,,,,,,,,,,,Q130542201,,,,,
