geom_type,lon,lat,@id,amenity,name,short_name,wikidata,wikipedia,@geometry,addr:city,addr:postcode,addr:street,barrier,contact:email,contact:phone,grades,operator,operator:ref,operator:type,ref,ref:qzp,disused,contact:fax,building,check_date,contact:website,alt_name,website,addr:housenumber,email,phone,religion,survey:date,surface,official_name,source,denomination,isced:level,landuse,playground,fax,ref:aeep,addr:place,name:en,addr:housename,education,description,image,min_age,opening_hours,wheelchair,Latitude,Longitude,ref:UAI,school:FR,facility_amount,facility_pay,facility_use,source:position,status,users_PLWD,users_boy,users_elderly,users_female,users_girl,users_men,internet_access,level,start_date
Point,2.9385741,6.4115668,way/11102692,school,Administrative Staff College Of Nigeria,ASCON,Q20990740,en:Administrative Staff College of Nigeria,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.67665,37.0980503,way/71593689,school,Escola Básica de Santa Maria,EB1 de Santa Maria;EB1/JI de Santa Maria,,,center,Lagos,8600-315,Rua da Gafaria,fence,eb1ji.stamaria@escolas.min-edu.pt,+351 282780130,3-9,Agrupamento de Escolas Júlio Dantas,145415,public,294111,QZP.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6712754,37.0958679,way/92542378,school,,,,,center,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6765423,37.1079633,way/143883114,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6495351,37.1184246,way/157858200,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.7327737,37.1550633,way/158032311,school,Escola Básica de Bensafrim,EB1 de Bensafrim,,,center,Bensafrim,8600-069,,fence,eb1.bensafrim@escolas.min-edu.pt,+351 282688131,6-9,Agrupamento de Escolas Gil Eanes,145427,public,207664,QZP.59,,+351 282688131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.7325103,37.1554601,way/158037093,school,,,,,center,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.7317504,37.1556047,way/158053687,school,,,,,center,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6770507,37.1080342,way/158617749,school,,,,,center,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6767247,37.1082222,way/158617755,school,,,,,center,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6767788,37.1079912,way/158617798,school,CASLAS,,,,center,,,,,,,,,,,,,,,yes,2026-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6873974,37.0962826,way/158617816,school,Escola Secundária Gil Eanes,,,,center,Lagos,8600-614,Rua da Escola Gil Eanes,fence,direcao@aegileanes.edu.gov.pt;servicos@aegileanes.edu.gov.pt,+351 282770160,12-17,Agrupamento de Escolas Gil Eanes,145427,public,400233,QZP.59,,+351 282768875,,,http://www.escola-gileanes.pt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6764958,37.1082846,way/158617849,school,,,,,center,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6528492,37.150042,way/158700455,school,Escola Básica de Odiáxere,EB1 de Odiáxere,,,center,,8600-000,Travessa João de Deus,fence,eb1.odeaxere@escolas.min-edu.pt,+351 282798909,6-9,Agrupamento de Escolas Gil Eanes,145427,public,259895,QZP.59,,+351 282798909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6895879,37.1054788,way/159115104,school,Escola Básica Tecnopolis,"EB2,3 Tecnopolis",,,center,Lagos,8600-001,Rua Dom Gaspar de Leão,fence,eb.tecnopolis@escolas.min-edu.pt,+351 282244430,10-14,"Agrupamento de Escolas Júlio Dantas, Lagos",145415,public,346901,QZP.59,,+351 282244459,,,http://www.avelagos.net/,Escola Básica Tecnopolis de Lagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6708102,37.1101814,way/164616481,school,Escola Básica das Naus,"EB2,3 das Naus",,,center,Lagos,8600-315,,fence,eb23.naus@escolas.min-edu.pt,+351 282792266,10-14,Agrupamento de Escolas Gil Eanes,145427,public,341940,QZP.59,,+351 282792265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6768132,37.1015383,way/373798482,school,Escola Básica N.º 1 de Lagos,EB1 N.º 1 de Lagos;EB1 do Bairro Operário,,,center,Lagos,8600-331,,fence,eb1.n1.lagos@escolas.min-edu.pt,+351 282769247,6-9,Agrupamento de Escolas Júlio Dantas,145415,public,228930,QZP.59,,+351 282768635,,,,Escola Básica do Bairro Operário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.6960298,6.4610758,way/378260772,school,Greensprings School - Lekki Campus,,,,center,,,,,,,,,,,,,,,,,,,https://www.greenspringsschool.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.9622823,6.6165241,way/379358948,school,Altantic Hall Boarding School,,Q4816448,en:Atlantic Hall,center,,,,,,,,,,,,,,,,,,,https://atlantic-hall.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3497619,6.4291151,way/434338035,school,Sea School,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4491384,6.4333818,way/481337673,school,British International School Lagos,,Q22032051,en:British International School Lagos,center,Lagos,,Land Bridge Avenue,,,+234 706 174 3619,,,,,,,,,,,,British International Primary School,https://bijsnigeria.org/,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
