geom_type,lon,lat,@id,barrier,historic,@geometry,building,man_made,tower:type,alt_name,amenity,denomination,heritage,heritage:operator,heritage:ref,heritage:website,heritage:website:sipa,name,protection_title,ref:dgpc,ref:ipa,religion,site_status,source:ref,wikidata,wikimedia_commons,wikipedia,addr:housenumber,addr:street,check_date,contact:facebook,contact:instagram,contact:twitter,fee,opening_hours,phone,tourism,website,stars,addr:housename,name:en,addr:city,addr:postcode,air_conditioning,description,guest_house,internet_access,operator,reservation,rooms,disused:railway,note,contact:phone,contact:website,landuse,name:de,bar,brand,brand:wikidata,email,image,internet_access:fee,payment:credit_cards,payment:debit_cards,smoking,source,wheelchair,tents,caravans,drinking_water,power_supply,sanitary_dump_station,shower,toilets,access,leisure,zoo,bridge,highway,layer,parking,height,check_date:internet_access,geological,geological:site,natural,official_name,place,breakfast,swimming_pool,related_law,short_protection_title,building:part,name:zh,brand:wikipedia,start_date,building:levels,elevator,park_ride,supervised,surface,addr:country,addr:state,payment:american_express,payment:cash,payment:cheque,payment:mastercard,payment:visa,shop,castle_type,fireplace,information,map_size,addr:unit,contact:email,contact:fax,contact:mobile,archaeological_site,historic:civilization,historic:period,ruins,heritage:since,heritage:website:arqueologia,ref:cns,artist_name,artwork_type,direction,name:pt,url,internet_access:ssid,artist:wikidata,material,memorial,subject:wikidata,area,fortification_type,payment:diners_club,payment:discover_card,payment:maestro,payment:visa_electron,inscription,bicycle,map_type,network,wreck,seamark:type,sport,guidepost,hiking,marker_type,ref,addr:place,fax,route_marker,attached_to,guide_type,location,disused,charge,fixme,name:nl,board_type,historic:era,megalith_type,ele,survey:date,outdoor_seating,name:hu,designation,field,attraction,public_transport,museum,bench,bin,lit,shelter,tactile_paving,subject:name,subject:wikipedia,support,facility_manager,source:position,status,facility_use,users_PLWD,users_boy,users_elderly,users_female,users_girl,users_men,camp_site,check_date:currency:XBT,currency:XBT,dog,payment:lightning,payment:lightning_contactless,payment:onchain,picnic_table,static_caravans,not:name,short_name,accommodation
Point,-8.6706751,37.0976426,way/71505012,city_wall,citywalls,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6745589,37.0984581,way/71593685,,tower,center,yes,tower,defensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6762232,37.0987458,way/71593693,,tower,center,yes,tower,defensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6759005,37.1043778,way/71593699,,tower,center,yes,tower,defensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6690596,37.0987895,way/71593703,,tower,center,yes,tower,defensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6716066,37.097168,way/71593716,,tower,center,yes,tower,defensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.675704,37.102186,way/71593718,,tower,center,yes,tower,defensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6758676,37.1005958,way/71593720,,tower,center,yes,tower,defensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6737355,37.1039454,way/92690498,,church,center,church,,,Antiga Igreja de Nossa Senhora da Conceição;Igreja de Nossa Senhora da Conceição,place_of_worship,roman_catholic,2,dgpc,MN,https://servicos.dgpc.gov.pt/pesquisapatrimonioimovel/detalhes.php?code=69861,http://monumentos.pt/Site/APP_PagesUser/SIPA.aspx?id=2881,Igreja de São Sebastião,Monumento Nacional,69861,2881,christian,Classificado,http://www.dre.pt/pdf1s/1924/06/13700/08680869.pdf,Q5994305,Category:Igreja de São Sebastião (Lagos),pt:Igreja de São Sebastião (Lagos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6742251,37.1046622,way/92691910,city_wall,citywalls,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
